FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130207;0000;;;5,6647;
130208;0000;;;8,18707;
130209;0000;;;13,6743;
130210;0000;;;8,89999;
130211;0000;;;7,46008;
130212;0000;;;12,1359;
130213;0000;;;5,39004;
130214;0000;;;10,8993;
130215;0000;;;6,68204;
130216;0000;;;14,476;
130217;0000;;;7,78699;
130218;0000;;;11,1741;
130219;0000;;;21,1751;
130220;0000;;;7,95699;
130221;0000;;;13,567;
130222;0000;;;11,526;
130223;0000;;;10,2223;
130224;0000;;;12,5881;
130225;0000;;;10,6324;
130226;0000;;;18,7648;
130227;0000;;;6,11895;
130228;0000;;;11,4906;
130301;0000;;;12,803;
130302;0000;;;17,8719;
130303;0000;;;8,19753;
130304;0000;;;6,78304;
130305;0000;;;;
130306;0000;;;9,92836;
130307;0000;;;12,3952;
130308;0000;;;11,5542;
130309;0000;;;15,0714;
130310;0000;;;13,3736;
130311;0000;;;12,0143;
130312;0000;;;15,3265;
130313;0000;;;30,1595;
130314;0000;;;12,8471;
130315;0000;;;19,6813;
130316;0000;;;12,3541;
130317;0000;;;9,15448;
130318;0000;;;11,3881;
130319;0000;;;;
130320;0000;;;;
130321;0000;;;33,6274;
130322;0000;;;32,9912;
130323;0000;;;29,3166;
130324;0000;;;33,1904;
130325;0000;;;32,5608;
130326;0000;;;36,0519;
130327;0000;;;9,59465;
130328;0000;;;8,91794;
130329;0000;;;7,09451;
130330;0000;;;6,52657;
130331;0000;;;5,99416;
130401;0000;;;10,1108;
130402;0000;;;23,6088;
130403;0000;;;;
130404;0000;;;;
130405;0000;;;;
130406;0000;;;;
130407;0000;;;;
130408;0000;;;;
130409;0000;;;;
130410;0000;;;8,90498;
130411;0000;;;;
130412;0000;;;;
130413;0000;;;;
130414;0000;;;;
130415;0000;;;;
130416;0000;;;;
130417;0000;;;;
130418;0000;;;;
130419;0000;;;;
130420;0000;;;;
130421;0000;;;;
130422;0000;;;;
130423;0000;;;;
130424;0000;;;;
130425;0000;;;;
130426;0000;;;;
130427;0000;;;;
130428;0000;;;;
130429;0000;;;;
130430;0000;;;;
130501;0000;;;;
130502;0000;;;;
130503;0000;;;;
130504;0000;;;;
130505;0000;;;;
130506;0000;;;;
130507;0000;;;;
130508;0000;;;;
130509;0000;;;;
130510;0000;;;;
130511;0000;;;;
130512;0000;;;;
130513;0000;;;;
130514;0000;;;;
130515;0000;;;;
130516;0000;;;;
130517;0000;;;;
130518;0000;;;;
130519;0000;;;;
130520;0000;;;;
130521;0000;;;;
130522;0000;;;;
130523;0000;;;;
130524;0000;;;;
130525;0000;;;;
130526;0000;;;;
130527;0000;;;;
130528;0000;;;;
130529;0000;;;;
130530;0000;;;;
130531;0000;;;;
130601;0000;;;;
130602;0000;;;;
130603;0000;;;;
130604;0000;;;;
130605;0000;;;;
130606;0000;;;;
130607;0000;;;;
130608;0000;;;;
130609;0000;;;;
130610;0000;;;;
130611;0000;;;;
130612;0000;;;;
130613;0000;;;;
130614;0000;;;;
130615;0000;;;;
130616;0000;;;;
130617;0000;;;;
130618;0000;;;;
130619;0000;;;;
130620;0000;;;;
130621;0000;;;;
130622;0000;;;;
130623;0000;;;;
130624;0000;;;;
130625;0000;;;;
130626;0000;;;30,7641;
130627;0000;;;12,7322;
130628;0000;;;18,1458;
130629;0000;;;45,8833;
130630;0000;;;24,4673;
130701;0000;;;34,6133;
130702;0000;;;40,5078;
130703;0000;;;13,2109;
130704;0000;;;;
130705;0000;;;;
130706;0000;;;24,0013;
130707;0000;;;;
130708;0000;;;;
130709;0000;;;18,3332;
130710;0000;;;25,2797;
130711;0000;;;10,9596;
130712;0000;;;13,8266;
130713;0000;;;12,4439;
130714;0000;;;8,92152;
130715;0000;;;8,8799;
130716;0000;;;36,7526;
130717;0000;;;16,2567;
130718;0000;;;14,0355;
130719;0000;;;10,7949;
130720;0000;;;14,2129;
130721;0000;;;7,82178;
130722;0000;;;18,6626;
130723;0000;;;27,4796;
130724;0000;;;33,4185;
130725;0000;;;8,83023;
130726;0000;;;12,3854;
130727;0000;;;15,8916;
130728;0000;;;9,67323;
130729;0000;;;4,76149;
130730;0000;;;37,0804;
130731;0000;;;28,0554;
130801;0000;;;20,5255;
130802;0000;;;13,2767;
130803;0000;;;17,0525;
130804;0000;;;12,0219;
130805;0000;;;11,9454;
130806;0000;;;37,5916;
130807;0000;;;9,46936;
130808;0000;;;6,50436;
130809;0000;;;8,26453;
130810;0000;;;14,1906;
130811;0000;;;23,1654;
130812;0000;;;10,9484;
130813;0000;;;19,523;
130814;0000;;;25,2788;
130815;0000;;;16,2986;
