FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130211;0000;;;2,98787;
130212;0000;;;8,25812;
130213;0000;;;6,36049;
130214;0000;;;5,71483;
130215;0000;;;3,21441;
130216;0000;;;2,55816;
130217;0000;;;6,39799;
130218;0000;;;4,33553;
130219;0000;;;11,4146;
130220;0000;;;4,72154;
130221;0000;;;;
130222;0000;;;;
130223;0000;;;;
130224;0000;;;5,35138;
130225;0000;;;5,60915;
130226;0000;;;13,0972;
130227;0000;;;5,93341;
130228;0000;;;3,17412;
130301;0000;;;2,7845;
130302;0000;;;4,12566;
130303;0000;;;5,41999;
130304;0000;;;6,57095;
130305;0000;;;;
130306;0000;;;10,7048;
130307;0000;;;4,70113;
130308;0000;;;4,5277;
130309;0000;;;3,60175;
130310;0000;;;5,18578;
130311;0000;;;3,45275;
130312;0000;;;14,3266;
130313;0000;;;6,52908;
130314;0000;;;4,47952;
130315;0000;;;6,27477;
130316;0000;;;7,64908;
130317;0000;;;6,37599;
130318;0000;;;6,7242;
130319;0000;;;14,9636;
130320;0000;;;4,58927;
130321;0000;;;;
130322;0000;;;6,24019;
130323;0000;;;5,69343;
130324;0000;;;3,6006;
130325;0000;;;4,00159;
130326;0000;;;17,0766;
130327;0000;;;;
130328;0000;;;7,73137;
130329;0000;;;7,60339;
130330;0000;;;5,92416;
130331;0000;;;2,93995;
130401;0000;;;4,18369;
130402;0000;;;6,21237;
130403;0000;;;10,9989;
130404;0000;;;11,8624;
130405;0000;;;5,42992;
130406;0000;;;6,3295;
130407;0000;;;5,07242;
130408;0000;;;7,167;
130409;0000;;;10,7384;
130410;0000;;;8,03722;
130411;0000;;;5,14308;
130412;0000;;;5,6407;
130413;0000;;;5,88551;
130414;0000;;;8,7756;
130415;0000;;;8,82942;
130416;0000;;;11,6809;
130417;0000;;;6,94015;
130418;0000;;;7,25849;
130419;0000;;;5,5079;
130420;0000;;;6,2944;
130421;0000;;;4,48775;
130422;0000;;;3,54455;
130423;0000;;;4,65862;
130424;0000;;;7,13341;
130425;0000;;;6,41704;
130426;0000;;;7,85186;
130427;0000;;;5,53107;
