FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130208;0000;;;6,64924;
130209;0000;;;11,4176;
130210;0000;;;3,57908;
130211;0000;;;3,82258;
130212;0000;;;16,1176;
130213;0000;;;3,03704;
130214;0000;;;8,18936;
130215;0000;;;3,28521;
130216;0000;;;3,6815;
130217;0000;;;2,85741;
130218;0000;;;6,43074;
130219;0000;;;13,8209;
130220;0000;;;4,56078;
130221;0000;;;8,4481;
130222;0000;;;13,6772;
130223;0000;;;7,38312;
130224;0000;;;14,0481;
130225;0000;;;8,87474;
130226;0000;;;10,1578;
130227;0000;;;3,77029;
130228;0000;;;8,41811;
130301;0000;;;14,573;
130302;0000;;;25,331;
130303;0000;;;4,96149;
130304;0000;;;4,8037;
130305;0000;;;;
130306;0000;;;10,5725;
130307;0000;;;6,41766;
130308;0000;;;5,77145;
130309;0000;;;6,16999;
130310;0000;;;5,09904;
130311;0000;;;5,16582;
130312;0000;;;9,66153;
130313;0000;;;4,83887;
130314;0000;;;5,7345;
130315;0000;;;6,66603;
130316;0000;;;5,70112;
130317;0000;;;4,59045;
130318;0000;;;6,44154;
130319;0000;;;10,6272;
130320;0000;;;3,63875;
130321;0000;;;8,30945;
130322;0000;;;7,20337;
130323;0000;;;6,80112;
130324;0000;;;8,51308;
130325;0000;;;14,1289;
130326;0000;;;28,9606;
130327;0000;;;17,4374;
130328;0000;;;10,7586;
130329;0000;;;5,43828;
130330;0000;;;7,11883;
130331;0000;;;5,62847;
130401;0000;;;;
130402;0000;;;;
130403;0000;;;1,49356;
130404;0000;;;;
130405;0000;;;0,894063;
130406;0000;;;8,14665;
130407;0000;;;9,67096;
130408;0000;;;13,6605;
130409;0000;;;1,22632;
130410;0000;;;1,19736;
130411;0000;;;4,68048;
130412;0000;;;17,5725;
130413;0000;;;9,05696;
130414;0000;;;9,59651;
130415;0000;;;16,9204;
130416;0000;;;3,37459;
130417;0000;;;10,4052;
130418;0000;;;11,4323;
130419;0000;;;6,71063;
130420;0000;;;4,66226;
130421;0000;;;13,4298;
130422;0000;;;5,82531;
130423;0000;;;5,55935;
130424;0000;;;2,04974;
130425;0000;;;8,55141;
130426;0000;;;2,9721;
130427;0000;;;6,48967;
130428;0000;;;8,81499;
130429;0000;;;6,41646;
130430;0000;;;;
130501;0000;;;;
130502;0000;;;;
130503;0000;;;;
130504;0000;;;;
130505;0000;;;;
130506;0000;;;;
130507;0000;;;;
130508;0000;;;;
130509;0000;;;;
130510;0000;;;;
130511;0000;;;;
130512;0000;;;;
130513;0000;;;;
130514;0000;;;;
130515;0000;;;;
130516;0000;;;;
130517;0000;;;;
130518;0000;;;;
130519;0000;;;;
130520;0000;;;;
130521;0000;;;;
130522;0000;;;;
130523;0000;;;;
130524;0000;;;;
130525;0000;;;;
130526;0000;;;;
130527;0000;;;;
130528;0000;;;;
130529;0000;;;;
130530;0000;;;;
130531;0000;;;;
130601;0000;;;;
130602;0000;;;;
130603;0000;;;;
130604;0000;;;;
130605;0000;;;;
130606;0000;;;;
130607;0000;;;;
130608;0000;;;;
130609;0000;;;;
130610;0000;;;;
130611;0000;;;;
130612;0000;;;;
130613;0000;;;;
130614;0000;;;;
130615;0000;;;;
130616;0000;;;;
130617;0000;;;;
130618;0000;;;;
130619;0000;;;;
130620;0000;;;;
130621;0000;;;;
130622;0000;;;;
130623;0000;;;;
130624;0000;;;;
130625;0000;;;;
130626;0000;;;21,4956;
130627;0000;;;7,98079;
130628;0000;;;4,38177;
130629;0000;;;16,3548;
130630;0000;;;9,96324;
130701;0000;;;22,2735;
130702;0000;;;19,9357;
130703;0000;;;30,1279;
130704;0000;;;;
130705;0000;;;;
130706;0000;;;9,13432;
130707;0000;;;;
130708;0000;;;;
130709;0000;;;46,5912;
130710;0000;;;47,9565;
130711;0000;;;7,89503;
130712;0000;;;16,9622;
130713;0000;;;8,68948;
130714;0000;;;6,29587;
130715;0000;;;6,605;
130716;0000;;;56,4213;
130717;0000;;;10,8642;
130718;0000;;;10,3681;
130719;0000;;;7,42058;
130720;0000;;;13,8126;
130721;0000;;;6,91895;
130722;0000;;;17,4738;
130723;0000;;;28,1137;
130724;0000;;;87,911;
130725;0000;;;21,6196;
130726;0000;;;9,96216;
130727;0000;;;30,3158;
130728;0000;;;11,5917;
130729;0000;;;7,18153;
130730;0000;;;41,7467;
130731;0000;;;24,9736;
130801;0000;;;30,1881;
130802;0000;;;10,5522;
130803;0000;;;17,8338;
130804;0000;;;14,5415;
130805;0000;;;6,30791;
130806;0000;;;37,0699;
130807;0000;;;6,2057;
130808;0000;;;5,59024;
130809;0000;;;5,63412;
130810;0000;;;6,34841;
130811;0000;;;46,3239;
130812;0000;;;12,8092;
130813;0000;;;21,3674;
130814;0000;;;13,6466;
130815;0000;;;17,5865;
130816;0000;;;75,5273;
130817;0000;;;51,3562;
130818;0000;;;9,52986;
130819;0000;;;6,36353;
130820;0000;;;24,5252;
130821;0000;;;12,7868;
130822;0000;;;10,0396;
130823;0000;;;16,1252;
130824;0000;;;13,7544;
130825;0000;;;25,9341;
130826;0000;;;11,9436;
130827;0000;;;20,3849;
130828;0000;;;11,5211;
130829;0000;;;6,5937;
130830;0000;;;8,83582;
130831;0000;;;11,6402;
130901;0000;;;14,0315;
130902;0000;;;14,0836;
130903;0000;;;21,7944;
130904;0000;;;25,5797;
130905;0000;;;7,3072;
130906;0000;;;11,9607;
130907;0000;;;14,0871;
130908;0000;;;11,0984;
130909;0000;;;14,8073;
130910;0000;;;13,0316;
130911;0000;;;10,0771;
130912;0000;;;4,33174;
130913;0000;;;4,29962;
130914;0000;;;4,35033;
