FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130208;0000;;;2,97675;
130209;0000;;;4,35883;
130210;0000;;;2,64129;
130211;0000;;;2,0125;
130212;0000;;;1,97548;
130213;0000;;;1,63362;
130214;0000;;;4,10725;
130215;0000;;;1,36656;
130216;0000;;;3,05471;
130217;0000;;;4,23191;
130218;0000;;;5,42207;
130219;0000;;;4,6752;
130220;0000;;;2,6207;
130221;0000;;;5,58754;
130222;0000;;;4,77587;
130223;0000;;;4,12916;
130224;0000;;;4,62374;
130225;0000;;;5,21616;
130226;0000;;;2,65833;
130227;0000;;;2,96196;
130228;0000;;;5,19166;
130301;0000;;;5,5457;
130302;0000;;;6,13766;
130303;0000;;;4,27941;
130304;0000;;;3,33341;
130305;0000;;;;
130306;0000;;;2,56712;
130307;0000;;;6,38261;
130308;0000;;;5,90116;
130309;0000;;;6,77957;
130310;0000;;;5,3672;
130311;0000;;;5,31329;
130312;0000;;;6,56245;
130313;0000;;;6,15558;
130314;0000;;;5,73928;
130315;0000;;;8,67236;
130316;0000;;;8,37311;
130317;0000;;;5,43437;
130318;0000;;;5,55491;
130319;0000;;;;
130320;0000;;;;
130321;0000;;;6,37312;
130322;0000;;;6,31474;
130323;0000;;;5,15211;
130324;0000;;;6,13537;
130325;0000;;;4,16645;
130326;0000;;;4,87279;
130327;0000;;;5,43715;
130328;0000;;;4,46041;
130329;0000;;;3,40335;
130330;0000;;;3,78773;
130331;0000;;;2,54173;
130401;0000;;;2,92003;
130402;0000;;;;
130403;0000;;;5,41729;
130404;0000;;;5,5127;
130405;0000;;;5,12962;
130406;0000;;;4,48065;
130407;0000;;;3,71944;
130408;0000;;;3,85867;
130409;0000;;;2,74026;
130410;0000;;;3,95851;
130411;0000;;;;
130412;0000;;;5,62248;
130413;0000;;;6,04166;
130414;0000;;;5,69598;
130415;0000;;;;
130416;0000;;;;
130417;0000;;;6,22905;
130418;0000;;;5,79547;
130419;0000;;;7,66472;
130420;0000;;;;
130421;0000;;;4,57268;
130422;0000;;;;
130423;0000;;;4,3224;
130424;0000;;;;
130425;0000;;;;
130426;0000;;;3,79903;
130427;0000;;;4,68532;
130428;0000;;;4,99624;
130429;0000;;;;
130430;0000;;;;
130501;0000;;;;
130502;0000;;;;
130503;0000;;;;
130504;0000;;;;
130505;0000;;;;
130506;0000;;;;
130507;0000;;;;
130508;0000;;;;
130509;0000;;;;
130510;0000;;;;
130511;0000;;;;
130512;0000;;;;
130513;0000;;;;
130514;0000;;;;
130515;0000;;;;
130516;0000;;;;
130517;0000;;;;
130518;0000;;;;
130519;0000;;;;
130520;0000;;;;
130521;0000;;;;
130522;0000;;;;
130523;0000;;;;
130524;0000;;;;
130525;0000;;;;
130526;0000;;;;
130527;0000;;;;
130528;0000;;;;
130529;0000;;;;
130530;0000;;;;
130531;0000;;;;
130601;0000;;;;
130602;0000;;;;
130603;0000;;;;
130604;0000;;;;
130605;0000;;;;
130606;0000;;;;
130607;0000;;;;
130608;0000;;;;
130609;0000;;;;
130610;0000;;;;
130611;0000;;;;
130612;0000;;;;
130613;0000;;;;
130614;0000;;;;
130615;0000;;;;
130616;0000;;;;
130617;0000;;;;
130618;0000;;;;
130619;0000;;;;
