FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160914;0000;;;7,32467;
160915;0000;;;5,35713;
160916;0000;;;6,07317;
160917;0000;;;4,42175;
160918;0000;;;7,76208;
160919;0000;;;5,49836;
160920;0000;;;9,14293;
160921;0000;;;6,39265;
160922;0000;;;5,62434;
160923;0000;;;5,4819;
160924;0000;;;5,90849;
160925;0000;;;3,80061;
160926;0000;;;4,7458;
160927;0000;;;4,17948;
160928;0000;;;5,08716;
160929;0000;;;6,53458;
160930;0000;;;7,0162;
161001;0000;;;6,21656;
161002;0000;;;5,83539;
161003;0000;;;4,30279;
161004;0000;;;3,89115;
161005;0000;;;3,31663;
161006;0000;;;3,18988;
161007;0000;;;6,10432;
161008;0000;;;8,64322;
161009;0000;;;5,8916;
161010;0000;;;5,33745;
161011;0000;;;13,0007;
161012;0000;;;10,1421;
161013;0000;;;9,50632;
161014;0000;;;7,09296;
161015;0000;;;4,18973;
161016;0000;;;3,22416;
161017;0000;;;3,51072;
161018;0000;;;6,01215;
161019;0000;;;5,59797;
161020;0000;;;5,02567;
161021;0000;;;7,44807;
161022;0000;;;3,84695;
161023;0000;;;4,02473;
161024;0000;;;4,51868;
161025;0000;;;4,47906;
161026;0000;;;5,48759;
161027;0000;;;4,28556;
161028;0000;;;3,86241;
161029;0000;;;3,84121;
161030;0000;;;3,36414;
161031;0000;;;4,1076;
161101;0000;;;3,3105;
161102;0000;;;4,32117;
161103;0000;;;4,94974;
161104;0000;;;4,77003;
161105;0000;;;4,68084;
161106;0000;;;5,43832;
161107;0000;;;7,31631;
161108;0000;;;6,63684;
161109;0000;;;5,5139;
161110;0000;;;7,26164;
161111;0000;;;4,53244;
161112;0000;;;5,22518;
161113;0000;;;3,86337;
161114;0000;;;5,44819;
161115;0000;;;5,30062;
161116;0000;;;6,04131;
161117;0000;;;6,48307;
161118;0000;;;4,66876;
161119;0000;;;5,15802;
161120;0000;;;3,73967;
161121;0000;;;5,01746;
161122;0000;;;5,52567;
161123;0000;;;3,94411;
161124;0000;;;8,58171;
161125;0000;;;4,21224;
161126;0000;;;5,05892;
161127;0000;;;3,59085;
161128;0000;;;4,76968;
161129;0000;;;4,65789;
161130;0000;;;3,13736;
161201;0000;;;;
161202;0000;;;3,99274;
161203;0000;;;3,77094;
161204;0000;;;3,6441;
161205;0000;;;3,61938;
161206;0000;;;8,06424;
161207;0000;;;5,05544;
161208;0000;;;3,49141;
161209;0000;;;6,02499;
161210;0000;;;6,46502;
161211;0000;;;4,21156;
161212;0000;;;4,21618;
161213;0000;;;6,85587;
161214;0000;;;5,12529;
161215;0000;;;5,77349;
161216;0000;;;6,74212;
161217;0000;;;5,05647;
161218;0000;;;4,12895;
161219;0000;;;4,83177;
161220;0000;;;4,72413;
161221;0000;;;4,83966;
161222;0000;;;4,57546;
161223;0000;;;4,79799;
161224;0000;;;5,88403;
161225;0000;;;7,75909;
161226;0000;;;;
161227;0000;;;;
161228;0000;;;;
161229;0000;;;5,67043;
161230;0000;;;9,78085;
161231;0000;;;7,04964;
170101;0000;;;8,34029;
170102;0000;;;6,64897;
170103;0000;;;7,05677;
170104;0000;;;5,04112;
170105;0000;;;6,79551;
170106;0000;;;7,10847;
170107;0000;;;5,77306;
170108;0000;;;5,70331;
170109;0000;;;11,6954;
170110;0000;;;5,48769;
170111;0000;;;5,30758;
170112;0000;;;5,13318;
170113;0000;;;5,19624;
170114;0000;;;4,24703;
170115;0000;;;7,05977;
170116;0000;;;4,60324;
170117;0000;;;8,3672;
170118;0000;;;6,39617;
170119;0000;;;4,76285;
170120;0000;;;6,29128;
170121;0000;;;4,07272;
170122;0000;;;5,11359;
170123;0000;;;4,33908;
170124;0000;;;7,57036;
170125;0000;;;5,63042;
170126;0000;;;5,3921;
170127;0000;;;6,01032;
170128;0000;;;4,11798;
170129;0000;;;3,74886;
170130;0000;;;4,31437;
170131;0000;;;5,25497;
170201;0000;;;5,17166;
170202;0000;;;4,21737;
170203;0000;;;4,73491;
170204;0000;;;4,8666;
170205;0000;;;5,25138;
170206;0000;;;4,77699;
170207;0000;;;7,45695;
170208;0000;;;4,35021;
170209;0000;;;5,4053;
170210;0000;;;5,67412;
170211;0000;;;8,43922;
170212;0000;;;8,51242;
170213;0000;;;4,6003;
170214;0000;;;5,55063;
170215;0000;;;9,07072;
170216;0000;;;9,80431;
170217;0000;;;9,23363;
170218;0000;;;4,88222;
170219;0000;;;7,09618;
170220;0000;;;5,25217;
170221;0000;;;5,51244;
170222;0000;;;6,28935;
170223;0000;;;5,81422;
170224;0000;;;6,80142;
170225;0000;;;7,05811;
170226;0000;;;7,11576;
170227;0000;;;9,73863;
170228;0000;;;7,80473;
170301;0000;;;9,08972;
170302;0000;;;11,1463;
170303;0000;;;4,18483;
170304;0000;;;6,47854;
170305;0000;;;9,71182;
170306;0000;;;8,60767;
170307;0000;;;6,34597;
170308;0000;;;6,86272;
170309;0000;;;3,93666;
170310;0000;;;6,64359;
170311;0000;;;5,39588;
170312;0000;;;5,60136;
170313;0000;;;4,47662;
170314;0000;;;4,92426;
170315;0000;;;7,34525;
170316;0000;;;4,56078;
170317;0000;;;6,25613;
170318;0000;;;4,42448;
170319;0000;;;4,26138;
170320;0000;;;5,46431;
170321;0000;;;4,58757;
170322;0000;;;4,27782;
170323;0000;;;4,77681;
170324;0000;;;5,45181;
170325;0000;;;5,9418;
170326;0000;;;6,07917;
170327;0000;;;9,33073;
170328;0000;;;9,6907;
170329;0000;;;6,94974;
170330;0000;;;12,2726;
170331;0000;;;12,1989;
170401;0000;;;8,2433;
170402;0000;;;7,49997;
170403;0000;;;10,8713;
170404;0000;;;8,95615;
170405;0000;;;8,67191;
170406;0000;;;9,45024;
170407;0000;;;6,01814;
170408;0000;;;6,98904;
170409;0000;;;10,0611;
170410;0000;;;21,2119;
170411;0000;;;7,16011;
170412;0000;;;8,14781;
170413;0000;;;17,9755;
170414;0000;;;13,7802;
170415;0000;;;9,92154;
170416;0000;;;10,6299;
170417;0000;;;7,69051;
170418;0000;;;8,35144;
170419;0000;;;9,01826;
170420;0000;;;9,95668;
170421;0000;;;6,92385;
170422;0000;;;3,46302;
170423;0000;;;6,89669;
170424;0000;;;6,93269;
170425;0000;;;5,91368;
170426;0000;;;8,11658;
170427;0000;;;15,9537;
170428;0000;;;15,7354;
170429;0000;;;13,5;
170430;0000;;;9,38115;
170501;0000;;;5,96811;
170502;0000;;;11,1106;
170503;0000;;;15,4952;
170504;0000;;;11,2319;
170505;0000;;;9,13951;
170506;0000;;;3,98025;
170507;0000;;;5,07046;
170508;0000;;;6,29316;
170509;0000;;;7,98143;
170510;0000;;;6,58241;
170511;0000;;;4,5892;
170512;0000;;;6,19656;
170513;0000;;;7,53468;
170514;0000;;;7,99306;
170515;0000;;;7,27302;
170516;0000;;;4,78671;
170517;0000;;;7,8243;
170518;0000;;;5,50375;
170519;0000;;;4,89736;
170520;0000;;;11,5287;
170521;0000;;;11,4872;
170522;0000;;;13,2614;
170523;0000;;;7,6936;
170524;0000;;;12,6558;
170525;0000;;;9,02957;
170526;0000;;;17,7913;
170527;0000;;;13,4148;
170528;0000;;;12,0637;
170529;0000;;;11,3073;
170530;0000;;;;
170531;0000;;;7,35726;
170601;0000;;;11,304;
170602;0000;;;15,7879;
170603;0000;;;6,73589;
170604;0000;;;6,80135;
170605;0000;;;7,56936;
170606;0000;;;14,3331;
170607;0000;;;;
170608;0000;;;;
170609;0000;;;9,04451;
170610;0000;;;12,2558;
170611;0000;;;13,4586;
170612;0000;;;9,22351;
170613;0000;;;10,3687;
170614;0000;;;10,9264;
170615;0000;;;11,9021;
170616;0000;;;4,48119;
170617;0000;;;4,30888;
170618;0000;;;;
170619;0000;;;10,1562;
170620;0000;;;29,0261;
170621;0000;;;8,30406;
170622;0000;;;5,52383;
170623;0000;;;8,42052;
170624;0000;;;5,17568;
170625;0000;;;4,52974;
170626;0000;;;6,22758;
170627;0000;;;10,2134;
170628;0000;;;21,9997;
170629;0000;;;12,461;
170630;0000;;;16,4016;
170701;0000;;;13,8459;
170702;0000;;;6,72681;
170703;0000;;;6,46498;
170704;0000;;;7,13254;
170705;0000;;;14,0271;
170706;0000;;;20,3001;
170707;0000;;;26,6127;
170708;0000;;;10,5648;
170709;0000;;;7,78258;
170710;0000;;;13,015;
170711;0000;;;16,0004;
170712;0000;;;6,87641;
170713;0000;;;3,3425;
170714;0000;;;7,18974;
170715;0000;;;6,91399;
170716;0000;;;5,62676;
170717;0000;;;12,2273;
170718;0000;;;23,7773;
170719;0000;;;21,3662;
170720;0000;;;14,7355;
170721;0000;;;7,33322;
170722;0000;;;9,41287;
170723;0000;;;11,124;
170724;0000;;;7,08585;
170725;0000;;;20,3221;
170726;0000;;;18,5091;
170727;0000;;;14,4929;
170728;0000;;;12,5889;
170729;0000;;;10,0059;
170730;0000;;;11,6565;
170731;0000;;;18,0819;
170801;0000;;;12,0344;
170802;0000;;;13,2815;
170803;0000;;;13,2697;
170804;0000;;;7,92212;
170805;0000;;;7,14996;
170806;0000;;;14,6824;
170807;0000;;;12,8502;
170808;0000;;;12,2939;
170809;0000;;;8,51608;
170810;0000;;;6,03652;
170811;0000;;;9,45952;
170812;0000;;;8,70836;
170813;0000;;;13,0396;
170814;0000;;;9,4742;
170815;0000;;;8,9857;
170816;0000;;;10,9236;
170817;0000;;;14,6435;
170818;0000;;;7,88879;
170819;0000;;;6,4221;
170820;0000;;;10,0058;
170821;0000;;;12,8571;
170822;0000;;;5,85166;
170823;0000;;;7,04434;
170824;0000;;;7,84589;
170825;0000;;;12,8248;
170826;0000;;;10,1999;
170827;0000;;;7,51852;
170828;0000;;;16,0576;
170829;0000;;;7,76816;
170830;0000;;;14,4663;
170831;0000;;;17,8037;
170901;0000;;;7,79096;
170902;0000;;;10,3695;
170903;0000;;;7,37697;
170904;0000;;;9,54118;
170905;0000;;;12,4144;
170906;0000;;;8,82091;
170907;0000;;;13,6739;
170908;0000;;;5,92199;
170909;0000;;;7,87124;
170910;0000;;;6,01731;
170911;0000;;;10,8911;
170912;0000;;;5,68877;
170913;0000;;;6,68154;
170914;0000;;;6,40315;
170915;0000;;;9,03685;
170916;0000;;;15,3937;
170917;0000;;;7,88631;
170918;0000;;;6,70474;
170919;0000;;;6,16146;
170920;0000;;;5,45434;
170921;0000;;;8,64426;
170922;0000;;;8,05215;
170923;0000;;;6,79183;
170924;0000;;;6,03531;
170925;0000;;;10,1737;
170926;0000;;;6,58135;
170927;0000;;;8,50873;
170928;0000;;;7,70063;
170929;0000;;;9,24922;
170930;0000;;;7,41867;
171001;0000;;;5,35494;
171002;0000;;;9,21858;
171003;0000;;;11,2556;
171004;0000;;;11,6577;
171005;0000;;;6,59141;
171006;0000;;;9,08839;
171007;0000;;;5,42353;
171008;0000;;;4,97166;
171009;0000;;;5,06783;
171010;0000;;;6,92756;
171011;0000;;;8,37984;
171012;0000;;;7,69168;
171013;0000;;;9,55748;
171014;0000;;;6,54968;
171015;0000;;;5,82919;
171016;0000;;;6,50702;
171017;0000;;;5,5842;
171018;0000;;;6,52044;
171019;0000;;;8,1808;
171020;0000;;;5,4151;
171021;0000;;;9,04492;
171022;0000;;;6,42214;
171023;0000;;;8,84006;
171024;0000;;;6,95377;
171025;0000;;;5,18487;
171026;0000;;;4,61562;
171027;0000;;;5,96557;
171028;0000;;;4,70238;
171029;0000;;;4,11526;
171030;0000;;;6,26096;
171031;0000;;;10,1242;
171101;0000;;;18,1134;
171102;0000;;;5,04014;
171103;0000;;;6,28413;
171104;0000;;;8,43097;
171105;0000;;;6,74239;
171106;0000;;;5,03667;
171107;0000;;;4,68821;
171108;0000;;;5,8559;
171109;0000;;;5,91557;
171110;0000;;;7,1462;
171111;0000;;;5,36779;
171112;0000;;;5,34903;
171113;0000;;;5,14394;
171114;0000;;;8,03825;
171115;0000;;;4,74987;
171116;0000;;;5,55337;
171117;0000;;;6,6995;
171118;0000;;;9,45332;
171119;0000;;;7,481;
171120;0000;;;8,19849;
171121;0000;;;10,3526;
171122;0000;;;7,71027;
171123;0000;;;5,64327;
171124;0000;;;5,39729;
171125;0000;;;8,47101;
171126;0000;;;5,35518;
171127;0000;;;5,2729;
171128;0000;;;4,7213;
171129;0000;;;5,75087;
171130;0000;;;8,5416;
171201;0000;;;5,29833;
171202;0000;;;4,7552;
171203;0000;;;4,9838;
171204;0000;;;9,17607;
171205;0000;;;4,80303;
171206;0000;;;4,54208;
171207;0000;;;6,52898;
171208;0000;;;5,75828;
171209;0000;;;7,55179;
171210;0000;;;5,82391;
171211;0000;;;5,11351;
171212;0000;;;5,43187;
171213;0000;;;6,78488;
171214;0000;;;7,97026;
171215;0000;;;6,3761;
171216;0000;;;7,84579;
171217;0000;;;9,0414;
171218;0000;;;6,06963;
171219;0000;;;5,38806;
171220;0000;;;5,40147;
171221;0000;;;7,82293;
171222;0000;;;6,28078;
171223;0000;;;6,96541;
171224;0000;;;7,49216;
171225;0000;;;6,02509;
171226;0000;;;8,04842;
171227;0000;;;5,52664;
171228;0000;;;5,91074;
171229;0000;;;5,01822;
171230;0000;;;6,86996;
171231;0000;;;5,36484;
180101;0000;;;5,37643;
180102;0000;;;8,6794;
180103;0000;;;8,75674;
180104;0000;;;7,33388;
180105;0000;;;4,59222;
180106;0000;;;6,83012;
180107;0000;;;5,41808;
180108;0000;;;8,58908;
180109;0000;;;13,7229;
180110;0000;;;6,19736;
180111;0000;;;4,93283;
180112;0000;;;5,25837;
180113;0000;;;5,69035;
180114;0000;;;5,19993;
180115;0000;;;5,34984;
180116;0000;;;5,44673;
180117;0000;;;8,25674;
180118;0000;;;6,87612;
180119;0000;;;5,86629;
180120;0000;;;5,37907;
180121;0000;;;5,65228;
180122;0000;;;10,3832;
180123;0000;;;5,43726;
180124;0000;;;11,9969;
180125;0000;;;6,30563;
180126;0000;;;6,23355;
180127;0000;;;11,8621;
180128;0000;;;8,43204;
180129;0000;;;5,72444;
180130;0000;;;5,7361;
180131;0000;;;6,64519;
180201;0000;;;10,3152;
180202;0000;;;6,52127;
180203;0000;;;5,22306;
180204;0000;;;7,15419;
180205;0000;;;5,23818;
180206;0000;;;5,12686;
180207;0000;;;5,04237;
180208;0000;;;4,9522;
180209;0000;;;8,46123;
180210;0000;;;7,04044;
180211;0000;;;8,13805;
180212;0000;;;9,72375;
180213;0000;;;10,6752;
180214;0000;;;10,8385;
180215;0000;;;5,4615;
180216;0000;;;6,69166;
180217;0000;;;9,83955;
180218;0000;;;6,01444;
180219;0000;;;4,76102;
180220;0000;;;;
180221;0000;;;15,7868;
180222;0000;;;5,53233;
180223;0000;;;7,49963;
180224;0000;;;4,50327;
180225;0000;;;6,07175;
180226;0000;;;8,63707;
180227;0000;;;5,3188;
180228;0000;;;4,04197;
180301;0000;;;4,63415;
180302;0000;;;6,76151;
180303;0000;;;4,64835;
180304;0000;;;6,18089;
180305;0000;;;5,69318;
180306;0000;;;6,35563;
180307;0000;;;5,31464;
180308;0000;;;5,03455;
180309;0000;;;10,9857;
180310;0000;;;4,74987;
180311;0000;;;5,60815;
180312;0000;;;8,09982;
180313;0000;;;7,02297;
180314;0000;;;6,68875;
180315;0000;;;8,48239;
180316;0000;;;11,9234;
180317;0000;;;11,9042;
180318;0000;;;3,93491;
180319;0000;;;7,61044;
180320;0000;;;18,489;
180321;0000;;;25,8206;
180322;0000;;;9,76765;
180323;0000;;;9,45084;
180324;0000;;;5,91579;
180325;0000;;;6,52427;
180326;0000;;;7,14694;
180327;0000;;;8,43671;
180328;0000;;;4,90399;
180329;0000;;;7,81233;
180330;0000;;;6,64001;
180331;0000;;;4,29707;
180401;0000;;;8,9333;
180402;0000;;;5,18005;
180403;0000;;;5,07393;
180404;0000;;;6,54948;
180405;0000;;;15,5578;
180406;0000;;;5,40797;
180407;0000;;;4,42038;
180408;0000;;;10,8044;
180409;0000;;;10,7164;
180410;0000;;;20,6118;
180411;0000;;;12,6268;
180412;0000;;;7,76494;
180413;0000;;;15,1711;
180414;0000;;;13,9504;
180415;0000;;;10,7104;
180416;0000;;;5,5564;
180417;0000;;;8,98753;
180418;0000;;;8,69791;
180419;0000;;;7,97281;
180420;0000;;;9,28101;
180421;0000;;;9,08534;
180422;0000;;;6,62661;
180423;0000;;;13,007;
180424;0000;;;7,65858;
180425;0000;;;18,3918;
180426;0000;;;15,0191;
180427;0000;;;11,4916;
180428;0000;;;12,1208;
180429;0000;;;5,56388;
180430;0000;;;6,73637;
180501;0000;;;13,8536;
180502;0000;;;10,2056;
180503;0000;;;12,8978;
180504;0000;;;14,2937;
180505;0000;;;9,43398;
180506;0000;;;6,18472;
180507;0000;;;6,82231;
180508;0000;;;7,50705;
180509;0000;;;15,7918;
180510;0000;;;17,0359;
180511;0000;;;18,2483;
180512;0000;;;9,42474;
180513;0000;;;6,36839;
180514;0000;;;12,3851;
180515;0000;;;15,6448;
180516;0000;;;15,798;
180517;0000;;;11,3568;
180518;0000;;;9,2973;
180519;0000;;;14,8093;
180520;0000;;;14,2901;
180521;0000;;;9,25966;
180522;0000;;;15,6756;
180523;0000;;;12,7233;
180524;0000;;;17,4063;
180525;0000;;;13,5231;
180526;0000;;;11,9847;
180527;0000;;;15,783;
180528;0000;;;13,25;
180529;0000;;;3,88653;
180530;0000;;;3,24669;
180531;0000;;;5,0071;
180601;0000;;;12,6138;
180602;0000;;;10,3442;
180603;0000;;;8,28905;
180604;0000;;;21,0037;
180605;0000;;;27,7222;
180606;0000;;;9,79886;
180607;0000;;;12,5606;
180608;0000;;;23,6999;
180609;0000;;;;
180610;0000;;;;
180611;0000;;;7,05911;
180612;0000;;;6,70749;
180613;0000;;;13,2817;
180614;0000;;;23,4987;
180615;0000;;;34,868;
180616;0000;;;24,2376;
180617;0000;;;15,4388;
180618;0000;;;21,2378;
180619;0000;;;10,6238;
180620;0000;;;16,6414;
180621;0000;;;19,9044;
180622;0000;;;12,754;
180623;0000;;;21,6561;
180624;0000;;;7,94174;
180625;0000;;;11,2236;
180626;0000;;;21,6364;
180627;0000;;;14,9018;
180628;0000;;;8,75398;
180629;0000;;;12,8332;
180630;0000;;;8,90349;
180701;0000;;;6,91035;
180702;0000;;;7,06744;
180703;0000;;;6,61797;
180704;0000;;;5,61772;
180705;0000;;;5,39816;
180706;0000;;;4,83944;
180707;0000;;;7,29486;
180708;0000;;;11,3247;
180709;0000;;;12,9823;
180710;0000;;;8,75659;
180711;0000;;;7,72357;
180712;0000;;;13,5431;
180713;0000;;;17,3888;
180714;0000;;;10,9576;
180715;0000;;;4,96092;
180716;0000;;;10,357;
180717;0000;;;6,7403;
180718;0000;;;5,91683;
180719;0000;;;9,35233;
180720;0000;;;8,37233;
180721;0000;;;15,5789;
180722;0000;;;5,00028;
180723;0000;;;9,6573;
180724;0000;;;9,31929;
180725;0000;;;12,0876;
180726;0000;;;7,84185;
180727;0000;;;8,62112;
180728;0000;;;14,2185;
180729;0000;;;16,5082;
180730;0000;;;16,6571;
180731;0000;;;18,3172;
180801;0000;;;11,1653;
180802;0000;;;7,6639;
180803;0000;;;7,68697;
180804;0000;;;10,5821;
180805;0000;;;14,8191;
180806;0000;;;9,87691;
180807;0000;;;6,04799;
180808;0000;;;7,7892;
180809;0000;;;14,73;
180810;0000;;;11,2946;
180811;0000;;;7,78792;
180812;0000;;;8,27821;
180813;0000;;;8,20799;
180814;0000;;;6,85188;
180815;0000;;;16,1664;
180816;0000;;;6,78493;
180817;0000;;;7,81319;
180818;0000;;;4,03353;
180819;0000;;;5,2298;
180820;0000;;;8,95035;
180821;0000;;;8,8297;
180822;0000;;;9,76901;
180823;0000;;;6,93903;
180824;0000;;;4,55836;
180825;0000;;;6,45628;
180826;0000;;;5,7094;
180827;0000;;;6,4963;
180828;0000;;;4,90682;
180829;0000;;;4,73641;
180830;0000;;;5,51245;
180831;0000;;;7,21071;
180901;0000;;;10,2097;
180902;0000;;;9,56946;
180903;0000;;;13,716;
180904;0000;;;7,46108;
180905;0000;;;5,43665;
180906;0000;;;8,86433;
180907;0000;;;7,15343;
180908;0000;;;7,82519;
180909;0000;;;7,05024;
180910;0000;;;11,53;
180911;0000;;;6,65634;
180912;0000;;;10,6289;
180913;0000;;;6,31343;
180914;0000;;;5,86052;
180915;0000;;;6,00071;
180916;0000;;;16,6103;
180917;0000;;;9,37476;
180918;0000;;;5,87375;
180919;0000;;;6,91326;
180920;0000;;;14,637;
180921;0000;;;14,3733;
180922;0000;;;11,2321;
180923;0000;;;4,07998;
180924;0000;;;5,65232;
180925;0000;;;7,47162;
180926;0000;;;7,79013;
180927;0000;;;7,5874;
180928;0000;;;11,007;
180929;0000;;;5,84273;
180930;0000;;;4,47466;
181001;0000;;;5,27665;
181002;0000;;;5,84206;
181003;0000;;;6,22598;
181004;0000;;;6,41826;
181005;0000;;;6,31344;
181006;0000;;;5,41052;
181007;0000;;;4,27743;
181008;0000;;;4,86108;
181009;0000;;;4,3428;
181010;0000;;;6,62582;
181011;0000;;;4,46843;
181012;0000;;;3,90361;
181013;0000;;;4,17912;
181014;0000;;;4,97224;
181015;0000;;;5,22691;
181016;0000;;;5,54736;
181017;0000;;;6,41405;
181018;0000;;;5,90651;
181019;0000;;;7,11226;
181020;0000;;;4,23358;
181021;0000;;;4,88531;
181022;0000;;;6,23884;
181023;0000;;;7,48909;
181024;0000;;;5,57397;
181025;0000;;;5,96811;
181026;0000;;;6,1769;
