FECHA (YYMMDD);HORA (HHMM);;
160212;0200;2,76393;
160212;0300;2,41775;
160212;0400;2,04494;
160212;0500;1,31941;
160212;0600;1,04104;
160212;0700;2,3185;
160212;0800;2,76743;
160212;0900;3,61624;
160212;1000;3,3051;
160212;1100;4,40523;
160212;1200;5,42795;
160212;1300;5,53127;
160212;1400;4,72205;
160212;1500;6,19797;
160212;1600;7,50889;
160212;1700;7,31548;
160212;1800;6,34431;
160212;1900;6,18626;
160212;2000;4,76482;
160212;2100;3,53117;
160212;2200;3,21058;
160212;2300;2,66225;
160213;0000;2,79036;
160213;0100;2,19824;
160213;0200;0,895529;
160213;0300;1,3982;
160213;0400;1,45474;
160213;0500;0,765147;
160213;0600;0,889667;
160213;0700;0,159828;
160213;0800;1,56439;
160213;0900;2,21826;
160213;1000;2,88518;
160213;1100;3,33542;
160213;1200;5,2615;
160213;1300;5,02905;
160213;1400;6,93282;
160213;1500;7,78571;
160213;1600;8,39612;
160213;1700;6,64397;
160213;1800;7,05299;
160213;1900;6,41592;
160213;2000;5,12312;
160213;2100;4,44778;
160213;2200;3,31225;
160213;2300;2,99302;
160214;0000;3,2902;
160214;0100;1,69503;
160214;0200;0,828981;
160214;0300;0,433795;
160214;0400;0,215293;
160214;0500;1,5639;
160214;0600;1,60181;
160214;0700;1,21752;
160214;0800;0,925395;
160214;0900;2,09346;
160214;1000;2,41465;
160214;1100;2,76927;
160214;1200;5,56255;
160214;1300;6,12375;
160214;1400;6,3527;
160214;1500;6,286;
160214;1600;6,06493;
160214;1700;5,5405;
160214;1800;5,43481;
160214;1900;5,41952;
160214;2000;4,20927;
160214;2100;4,37088;
160214;2200;2,90149;
160214;2300;2,18116;
160215;0000;0,467724;
160215;0100;1,04243;
160215;0200;1,16726;
160215;0300;1,89114;
160215;0400;2,00131;
160215;0500;2,23313;
160215;0600;2,02394;
160215;0700;1,46966;
160215;0800;1,18261;
160215;0900;1,74327;
160215;1000;2,26394;
160215;1100;3,15044;
160215;1200;2,95632;
160215;1300;2,72768;
160215;1400;2,41548;
160215;1500;1,75981;
160215;1600;2,10652;
160215;1700;2,18497;
160215;1800;1,89156;
160215;1900;1,56868;
160215;2000;1,83017;
160215;2100;1,84118;
160215;2200;1,29414;
160215;2300;0,909293;
160216;0000;0,952982;
160216;0100;1,12094;
160216;0200;1,33006;
160216;0300;1,73289;
160216;0400;2,16299;
160216;0500;2,29367;
160216;0600;1,1155;
160216;0700;0,978599;
160216;0800;0,796365;
160216;0900;1,57961;
160216;1000;1,42107;
160216;1100;0,917209;
160216;1200;2,39902;
160216;1300;2,29049;
160216;1400;2,57028;
160216;1500;2,58142;
160216;1600;3,12548;
160216;1700;4,7886;
160216;1800;4,49725;
160216;1900;4,47488;
160216;2000;4,91093;
160216;2100;4,51491;
160216;2200;2,86034;
160216;2300;2,24128;
160217;0000;1,98758;
160217;0100;2,05332;
160217;0200;0,95911;
160217;0300;1,51006;
160217;0400;0,768174;
160217;0500;1,40149;
160217;0600;1,6095;
160217;0700;0,709724;
160217;0800;1,60632;
160217;0900;1,79376;
160217;1000;2,10441;
160217;1100;2,52835;
160217;1200;2,96539;
160217;1300;3,31566;
160217;1400;2,94042;
160217;1500;2,95158;
160217;1600;3,56148;
160217;1700;3,23954;
160217;1800;4,36602;
160217;1900;3,57136;
160217;2000;2,8353;
160217;2100;1,23495;
160217;2200;1,62034;
160217;2300;0,604307;
160218;0000;1,61045;
160218;0100;0,76104;
160218;0200;0,789234;
160218;0300;0,235816;
160218;0400;0,390688;
160218;0500;1,62045;
160218;0600;1,57238;
160218;0700;1,14397;
160218;0800;1,25219;
160218;0900;2,09506;
160218;1000;2,32342;
160218;1100;3,31132;
160218;1200;4,01021;
160218;1300;4,01208;
160218;1400;5,29451;
160218;1500;6,69833;
160218;1600;6,4231;
160218;1700;6,50126;
160218;1800;5,77343;
160218;1900;5,86834;
160218;2000;5,3312;
160218;2100;3,37291;
160218;2200;2,46763;
160218;2300;2,5216;
160219;0000;2,20301;
160219;0100;1,43407;
160219;0200;1,46185;
160219;0300;1,90444;
160219;0400;1,68102;
160219;0500;1,62176;
160219;0600;1,46575;
160219;0700;0,567842;
160219;0800;1,4871;
160219;0900;1,85645;
160219;1000;2,11023;
160219;1100;3,5944;
160219;1200;4,90994;
160219;1300;6,62868;
160219;1400;6,97964;
160219;1500;7,80112;
160219;1600;8,27814;
160219;1700;7,52419;
160219;1800;5,70322;
160219;1900;4,44431;
160219;2000;3,47001;
160219;2100;3,60071;
160219;2200;3,60733;
160219;2300;1,15895;
160220;0000;0,718496;
160220;0100;0,837025;
160220;0200;1,23858;
160220;0300;1,11165;
160220;0400;1,0302;
160220;0500;1,74063;
160220;0600;1,18001;
160220;0700;0,602182;
160220;0800;1,71733;
160220;0900;1,74949;
160220;1000;2,8966;
160220;1100;5,18121;
160220;1200;4,72205;
160220;1300;3,75289;
160220;1400;2,7014;
160220;1500;2,83827;
160220;1600;3,60082;
160220;1700;1,92111;
160220;1800;1,67201;
160220;1900;1,17524;
160220;2000;2,35148;
160220;2100;3,63792;
160220;2200;3,53637;
160220;2300;2,27644;
160221;0000;1,47918;
160221;0100;3,19884;
160221;0200;1,8518;
160221;0300;0,23117;
160221;0400;0,937426;
160221;0500;1,29173;
160221;0600;1,68354;
160221;0700;1,43674;
160221;0800;0,74922;
160221;0900;2,08546;
160221;1000;1,73972;
160221;1100;3,00123;
160221;1200;3,70037;
160221;1300;2,99201;
160221;1400;3,13577;
160221;1500;3,07601;
160221;1600;2,48238;
160221;1700;2,59723;
160221;1800;3,10369;
160221;1900;1,5509;
160221;2000;0,547165;
160221;2100;1,21254;
160221;2200;2,82084;
160221;2300;2,27138;
160222;0000;2,57467;
160222;0100;2,92155;
160222;0200;1,74249;
160222;0300;1,68527;
160222;0400;1,10011;
160222;0500;1,2773;
160222;0600;1,31355;
160222;0700;1,69141;
160222;0800;0,438097;
160222;0900;1,10796;
160222;1000;1,39731;
160222;1100;3,0492;
160222;1200;3,27667;
160222;1300;2,60769;
160222;1400;1,86574;
160222;1500;2,89659;
160222;1600;2,71037;
160222;1700;2,46234;
160222;1800;2,08711;
160222;1900;1,51672;
160222;2000;1,31775;
160222;2100;0,897828;
160222;2200;0,493923;
160222;2300;1,22612;
160223;0000;0,109882;
160223;0100;1,11022;
160223;0200;1,39567;
160223;0300;1,39724;
160223;0400;1,51412;
160223;0500;1,86875;
160223;0600;1,73086;
160223;0700;1,63997;
160223;0800;2,21876;
160223;0900;1,03235;
160223;1000;1,715;
160223;1100;3,29392;
160223;1200;3,09727;
160223;1300;1,59928;
160223;1400;1,19759;
160223;1500;2,4442;
